Posizione,Nome Giocatore,Rating ELO
131,Piotr Szafranek,872
132,Igor Gudilkin,868
133,Jakub Budzynski,866
134,Krzysztof Marcinowski,860
135,Piotr Maruszak,860
136,Kamil Kostyk,858
137,Daniel Murawski,855
138,Jakub Zochniak,855
139,Gerasimos Chatzilygeroudis,848
140,Rafal Utylski,847
141,Marek Kowol,846
142,Blazej Cioch,843
143,Artur Sobel,841
144,Bartosz Kwodawski,840
145,Jakub Michalczyk,839
146,Adrian Myszewski,836
147,Radoslaw Malinowski,826
148,Tomasz Trzaskowski,825
149,Bartlomiej Skorko,825
150,Filip Kujawa,823
151,Sebastian Baran,820
152,Jakub Glanowski,820
153,Adam Stalzer,818
154,Pawel Piotrowski,814
155,Dariusz Szlubowski,814
156,Mikolaj Olejnik,814
157,Krzysztof Niemiec,813
158,Przemyslaw Blocho,809
159,Bartlomiej Mleczko,808
160,Wojciech Gronowski,807
161,Aleksander Majchrzak,806
162,Kamil Rudomina,804
163,Piotr Sudol,803
164,Jaroslav Baca,799
165,Adam Linek,797
166,Wojciech Iwasyszyn,793
167,Arkadiusz Mugowski,792
168,Michal Skorski,792
169,Krzysztof Guminski,792
170,Igor Dabrowski,790
171,Gracjan Kesik,789
172,Mateusz Woskowicz,788
173,Dawid Kotwica,784
174,Piotr Strus,782
175,Mateusz Zagajewski,782
176,Michal Minda,779
177,Filip Rulka,779
178,Adam Ramenda,778
179,Szymon Radlo,778
180,Michal Jurczak,775
181,Artur Szoltysek,775
182,Przemyslaw Korzec,774
183,Piotr Zemla,773
184,Krystian Gaik,771
185,Jakub Wozniak,771
186,Tomasz Pisarczyk,770
187,Kacper Marchlewski,769
188,Krzysztof Pawlowski,768
189,Mariusz Zwolinski,768
190,Jacek Przewlocki,767
191,Piotr Ferenc,767
192,Maciej Sinicki,765
193,Maciej Wisniewski,765
194,Jaroslaw Rolak,761
195,Bartlomiej Szymanek,759
196,Mateusz Kalinowski,758
197,Ales Rusnak,756
198,Stanislaw Wnek,753
199,Piotr Staniszewski,753
200,Dariusz Wrobel,751
201,Miroslaw Warzecha,750
202,Mateusz Gielazyn,748
203,Mariusz Sikora,748
204,Mateusz Trela,748
205,Filip Sikora,746
206,Bartlomiej Wisniewski,746
207,Wojciech Gluszek,745
208,Waldemar Glanowski,744
209,Jakub Werner,744
210,Pawel Grela,744
211,Pawel Gasiorski,742
212,Patryk Jedrzejak,740
213,Wiktor Klag,739
214,Dominik Idaczyk,739
215,Jacek Przewocki,738
216,Krzysztof Kotyl,738
217,Milosz Piecowski,738
218,Dariusz Molenda,737
219,Mariusz Koczyba,735
220,Jacek Oracz,734
221,Waclaw Suchecki,733
222,Miroslaw Piecowski,730
223,Kacper Slawinski,729
224,Rostislav Niezgoda,728
225,Marcin Kowalczyk,728
226,Henryk Tkaczyk,728
227,Daniel Kisielewicz,728
228,Bartlomiej Gala,726
229,Wojciech Kotyl,723
230,Mateusz Burkacki,723
231,Kacper Nagel,721
232,Adam Drzyzga,720
233,Marek Bartusik,718
234,Szymon Skop,718
235,Damian Swierczek,717
236,Mikolaj Lukaszewski,716
237,Piotr Ostachowski,715
238,Mikolaj Stodolica,713
239,Dariusz Steuer,712
240,Jakub Krzywniak,712
241,Michal Kratochvil,711
242,Kacper Makowski,704
243,Oleksandr Tereshscenko,704
244,Dawid Poloszczanski,702
245,Cezary Pawlik,700
246,Karol Dzida,696
247,Michal Wojewodka,695
248,Adrian Fabis,695
249,Filip Jablonski,694
250,Michal Czernik,693
251,Jakub Grzegorczyk,692
252,Zbigniew Nocun,691
253,Robert Olencki,689
254,Adrian Eliasz,687
255,Waclaw Suchecki,676
256,Oliwier Gwizdon,675
257,Michal Wolny,674
258,Lukasz Oracz,672
259,Kamil Durak,671
260,Tomasz Lojtek,671
261,Jakub Kuzmicz,671
262,Marek Tkocz,669
263,Szymon Marciniak,663
264,Maciej Karmolinski,663
265,Jakub Baranowski,662
266,Jakub Cyndera,661
267,Marcin Lasota,659
268,Robert Szymik,658
269,Jiri Skrla,657
270,Igor Franc,656
271,Krzysztof Hetnar,654
272,Pawel Polanski,653
273,Filip Witczak,649
274,Andrzej Zamojda,648
275,Pawel Adamus,644
276,Kacper Zajac,644
277,Piotr Kaczynski,644
278,Grzegorz Wichowski,643
279,Marian Lebek,642
280,Piotr Gumulinski,641
281,Dawid Gala,636
282,Maciej Malecha,635
283,Jakub Skorupa,632
284,Kamil Delikatny,631
285,Marcin Wozniczka,624
286,Sebastian Bak,623
287,Adam Kasperski,622
288,Oskar Jadach,619
289,Jan Orszulik,618
290,Dawid Dytko,617
291,Krzysztof Schaniel,616
292,Jaroslaw Badura,615
293,Sebastian Szostok,613
294,Adam Pokorny,613
295,Jakub Pruszkowski,610
296,Oliver Vincenec,610
297,Kamil Wodniak,610
298,Rafal Tatarczuch,609
299,Krzysztof Juszczyk,608
300,Artur Kubiak,607
301,Wojciech Chrzaszcz,605
302,Piotr Przewlocki,604
303,Lukasz Bernacki,601
304,Miroslaw Lewczuk,600
305,Dawid Rozum,600
306,Wojciech Wojtaszczyk,599
307,Wojciech Tobiasz,596
308,Robert Kostepski,595
309,Dawid Pyrek,594
310,Rafal Wojcik,591
311,Michal Oracz,591
312,Wojciech Urban,591
313,Marcin Chudy,591
314,Kamil Smolka,589
315,Jakub Skwierz,589
316,Pawel Stopinski,589
317,Bartlomiej Pacia,588
318,Rafal Skotniczny,587
319,Boguslaw Madej,586
320,Kacper Adamus,586
321,Krzysztof Czyrnia,586
322,Yurij Fomin,585
323,Michal Siwiec,585
324,Lukasz Matlag,585
325,Michal Lysakowski,583
326,Jakub Jesiek,583
327,Jakub Lamperski,583
328,Tomasz Bluszcz,580
329,Daniel Morawiec,577
330,Michal Bodnar,576
331,Mariusz Baron,575
332,Witold Buczynski,571
333,Dariusz Dosz,571
334,Mateusz Repke,570
335,Marian Brunner,569
336,Mateusz Kaszuba,567
337,Jerzy Pelka,566
338,Oliver Vincenec,565
339,Mateusz Przybyl,565
340,Sebstian Szostok,564
341,Jerzy Michalik,564
342,Tomasz Wrzalik,560
343,Dariusz Scigany,559
344,Rafal Idaczyk,559
345,Waldemar Jozala,556
346,Michal Wodniak,555
347,Andriej Fomin,555
348,Dawid Jendrysik,553
349,Sebastian Juzek,552
350,Stanislaw Sojka,551
351,Jakub Michalski,549
352,Grzegorz Jurowicz,544
353,Blazej Szczepanek,544
354,Marek Chybinski,544
355,Mateusz Szczepanski,542
356,Patryk Gamrot,540
357,Lukasz Strof,539
358,Krzysztof Piotrowski,537
359,Mariusz Twarog,537
360,Michal Paszkiewicz,535
361,Grzegorz Marud,532
362,Pawel Slosarczyk,532
363,Adrian Burkacki,529
364,Michal Kumor,529
365,Jakub Nowak,528
366,Patryk Mecik,528
367,Pawel Chojnacki,527
368,Mariusz Adamus,525
369,Damian Stepien,519
370,Sebastian Krupa,519
371,Jaroslaw Klamut,517
372,Damian Marciniak,515
373,Krzesimir Kleszcz,514
374,Grzegorz Sawicki,514
375,Maciej Wernicki,513
376,Marek Kaczorek,513
377,Rafal Adach,510
378,Bogdan Piecowski,510
379,Pawel Kurek,506
380,Michal Machelski,504
381,Maksymilian Rus,499
382,Wojciech Pytlas,497
383,Slawomir Tomsia,493
384,Rudolf Steuer,493
385,Kazimierz Rybak,492
386,Michal Stefaniak,492
387,Sylwester Mista,479
388,Damian Fira,477
389,Roman Wiza,475
390,Aleksander Barton,472
391,Arkadiusz Skupinski,469
392,Karol Jablonski,468
393,Oskar Sokolowski,468
394,Slawomir Janus,467
395,Witold Nowakowski,456
396,Adam Staniczek,455
397,Michal Natkaniec,455
398,Adam Ruszkiewicz,455
399,Jacek Zelezik,440
400,Milosz Cesarz,437
401,Lukasz Pyda,429
402,Maciej Lamer,427
403,Jakub Kaczmarek,402
404,Adrian Panczyk,400
405,Tymoteusz Drozd,384
406,Przemyslaw Gorski,382
407,Jerzy Kucharek,372
408,Witold Stechly,371
409,Dariusz Maszczynski,367
410,Eugeniusz Migdal,340
411,Rafal Ogon,334
412,Tomasz Przebierala,315
413,Robert Oglaza,216
